folder	file_name	genus	species	data_source	country	specimen_id	mask_percent	class_1	conf_1	class_2	conf_2	class_3	conf_3	class_4	conf_4	class_5	conf_5
2019 November	DSC_0734.JPG	Moenkhausia	oligolepis	field	Peru	PM04-CV1QMA18	10.65673828125	Moenkhausia	98.82	Astyanax	1.1	Prochilodus	0.02	Creagrutus	0.02	Bario	0.01
2019 November	DSC_0735.JPG	Creagrutus	beni	field	Peru	PM04-CV1QMA19	6.57501220703125	Creagrutus	99.56	Bryconops	0.4	Knodus	0.03	Prochilodus	0.0	Moenkhausia	0.0
2019 November	DSC_0736.JPG	Creagrutus	beni	field	Peru	PM04-CV1QMA19	7.42034912109375	Creagrutus	97.78	Knodus	1.84	Bryconops	0.38	Prochilodus	0.0	Moenkhausia	0.0
2019 November	DSC_0737.JPG	Serrasalmus	sp. 1	field	Peru	PM04-CV1QMA20	3.45458984375	Moenkhausia	81.28	Apistogramma	4.68	Bujurquina	3.36	Gasteropelecus	1.79	Hemigrammus	1.72
2019 November	DSC_0738.JPG	Serrasalmus	sp. 1	field	Peru	PM04-CV1QMA20	3.6468505859375	Moenkhausia	90.44	Apistogramma	1.49	Gasteropelecus	1.34	Corydoras	1.31	Phenacogaster	1.14
2019 November	DSC_0739.JPG	Phenacogaster	napoatilis 	field	Peru	PM04-CV1QMA21	7.80487060546875	Phenacogaster	99.99	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0	Tatia	0.0
2019 November	DSC_0740.JPG	Phenacogaster	napoatilis 	field	Peru	PM04-CV1QMA21	5.75714111328125	Phenacogaster	100.0	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0	Tatia	0.0
2019 November	DSC_0741.JPG	Phenacogaster	sp. 1	field	Peru	PM04-CV1QMA22	3.17535400390625	Phenacogaster	99.73	Astyanax	0.11	Moenkhausia	0.1	Hyphessobrycon	0.02	Tyttocharax	0.01
2019 November	DSC_0742.JPG	Phenacogaster	sp. 1	field	Peru	PM04-CV1QMA22	3.58428955078125	Phenacogaster	99.09	Hyphessobrycon	0.41	Hemigrammus	0.15	Astyanax	0.1	Tatia	0.05
2019 November	DSC_0743.JPG	Moenkhausia	collettii	field	Peru	PM04-CV1QMA23	5.90667724609375	Moenkhausia	93.92	Astyanax	3.11	Creagrutus	2.12	Hemigrammus	0.38	Bryconops	0.28
2019 November	DSC_0744.JPG	Moenkhausia	collettii	field	Peru	PM04-CV1QMA23	6.24847412109375	Moenkhausia	93.85	Astyanax	2.3	Hemigrammus	1.83	Creagrutus	1.39	Bryconops	0.24
2019 November	DSC_0745.JPG	Phenacogaster	napoatilis 	field	Peru	PM04-CV1QMA24	4.9591064453125	Phenacogaster	99.98	Moenkhausia	0.01	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0
2019 November	DSC_0746.JPG	Phenacogaster	napoatilis 	field	Peru	PM04-CV1QMA24	4.30908203125	Phenacogaster	99.8	Tatia	0.07	Hyphessobrycon	0.04	Moenkhausia	0.03	Tyttocharax	0.02
2019 November	DSC_0748.JPG	Phenacogaster	sp. 1	field	Peru	PM04-CV1QMA25	5.615234375	Phenacogaster	99.95	Moenkhausia	0.02	Hyphessobrycon	0.01	Astyanax	0.01	Hemigrammus	0.01
2019 November	DSC_0747.JPG	Phenacogaster	sp. 1	field	Peru	PM04-CV1QMA25	6.3873291015625	Phenacogaster	99.99	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0	Tatia	0.0
2019 November	DSC_0749.JPG	Phenacogaster	napoatilis 	field	Peru	PM04-CV1QMA26	5.59234619140625	Phenacogaster	100.0	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0	Tatia	0.0
2019 November	DSC_0750.JPG	Phenacogaster	napoatilis 	field	Peru	PM04-CV1QMA26	4.78515625	Phenacogaster	99.97	Hyphessobrycon	0.02	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0
2019 November	DSC_0751.JPG	Phenacogaster	napoatilis 	field	Peru	PM04-CV1QMA27	6.4056396484375	Phenacogaster	99.99	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0	Tatia	0.0
2019 November	DSC_0753.JPG	Phenacogaster	napoatilis 	field	Peru	PM04-CV1QMA28	4.84161376953125	Phenacogaster	99.83	Moenkhausia	0.16	Astyanax	0.01	Ancistrus	0.0	Prochilodus	0.0
2019 November	DSC_0752.JPG	Phenacogaster	napoatilis 	field	Peru	PM04-CV1QMA27	5.42144775390625	Phenacogaster	99.98	Moenkhausia	0.01	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0
2019 November	DSC_0754.JPG	Phenacogaster	napoatilis 	field	Peru	PM04-CV1QMA28	5.2764892578125	Phenacogaster	99.86	Tatia	0.09	Hyphessobrycon	0.02	Moenkhausia	0.01	Corydoras	0.01
2019 November	DSC_0755.JPG	Phenacogaster	sp. 1	field	Peru	PM04-CV1QMA29	4.46319580078125	Phenacogaster	100.0	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0	Tatia	0.0
2019 November	DSC_0756.JPG	Phenacogaster	sp. 1	field	Peru	PM04-CV1QMA29	3.77349853515625	Phenacogaster	99.73	Hyphessobrycon	0.2	Hemigrammus	0.02	Knodus	0.02	Ancistrus	0.0
2019 November	DSC_0757.JPG	Creagrutus	beni	field	Peru	PM04-CV1QMA30	4.3182373046875	Creagrutus	99.53	Knodus	0.31	Bryconops	0.14	Hemigrammus	0.01	Astyanax	0.01
2019 November	DSC_0758.JPG	Creagrutus	beni	field	Peru	PM04-CV1QMA30	3.5491943359375	Creagrutus	99.64	Knodus	0.25	Bryconops	0.09	Hemigrammus	0.01	Pimelodella	0.0
2019 November	DSC_0760.JPG	Characidium	cf. etheostoma	field	Peru	PM04-CV1QMA31	2.9510498046875	Characidium	93.15	Otocinclus	5.91	Bryconops	0.52	Astyanax	0.16	Knodus	0.06
2019 November	DSC_0759.JPG	Characidium	cf. etheostoma	field	Peru	PM04-CV1QMA31	3.25164794921875	Characidium	99.98	Otocinclus	0.01	Ancistrus	0.0	Prochilodus	0.0	Knodus	0.0
2019 November	DSC_0762.JPG	Bunocephalus 	sp. 1	field	Peru	PM04-CV1QMA32	4.8431396484375	Ancistrus	66.82	Bunocephalus	31.94	Rineloricaria	1.18	Oxyropsis	0.04	Pimelodella	0.0
2019 November	DSC_0761.JPG	Bunocephalus 	sp. 1	field	Peru	PM04-CV1QMA32	5.267333984375	Ancistrus	85.91	Bunocephalus	11.62	Rineloricaria	2.44	Oxyropsis	0.02	Pimelodella	0.0
2019 November	DSC_0765.JPG	Sturisoma	nigrirostrum	field	Peru	PM04-CV1QMA34	11.3037109375	Ancistrus	85.1	Gymnotus	3.89	Prochilodus	2.54	Bunocephalus	2.13	Rineloricaria	2.07
2019 November	DSC_0766.JPG	Sturisoma	nigrirostrum	field	Peru	PM04-CV1QMA34	9.75189208984375	Ancistrus	93.61	Bunocephalus	3.83	Gymnotus	1.31	Prochilodus	0.77	Erythrinus	0.23
2019 November	DSC_0785.JPG	Myloplus	asterias	field	Peru	MACV1-20	33.71124267578125	Tetragonopterus	52.37	Moenkhausia	27.34	Pygocentrus	13.32	Bario	4.21	Bujurquina	0.93
2019 November	DSC_0784.JPG	Myloplus	asterias	field	Peru	MACV1-20	33.45794677734375	Moenkhausia	62.54	Tetragonopterus	28.38	Pygocentrus	4.33	Bario	1.93	Ancistrus	0.92
2019 November	DSC_0786.JPG	Myloplus	asterias	field	Peru	MACV1-21	26.3427734375	Moenkhausia	77.84	Tetragonopterus	17.53	Ancistrus	1.09	Bario	0.9	Pygocentrus	0.89
2019 November	DSC_0787.JPG	Myloplus	asterias	field	Peru	MACV1-21	31.13250732421875	Tetragonopterus	77.51	Moenkhausia	16.51	Pygocentrus	3.55	Doras	0.57	Bario	0.37
2019 November	DSC_0788.JPG	Hoplias	malabaricus	field	Peru	MACV1-22	21.74072265625	Prochilodus	72.97	Ancistrus	24.84	Erythrinus	1.85	Gymnotus	0.08	Apistogramma	0.06
2019 November	DSC_0789.JPG	Hoplias	malabaricus	field	Peru	MACV1-22	24.54376220703125	Prochilodus	85.16	Ancistrus	14.13	Erythrinus	0.6	Curimata	0.03	Apistogramma	0.03
2019 November	DSC_0792.JPG	Crenicichla	proteus	field	Peru	KACV2-01	17.74139404296875	Ancistrus	90.57	Erythrinus	6.73	Prochilodus	2.23	Apistogramma	0.25	Oxyropsis	0.07
2019 November	DSC_0793.JPG	Crenicichla	proteus	field	Peru	KACV2-01	17.84210205078125	Ancistrus	98.24	Prochilodus	0.62	Corydoras	0.36	Erythrinus	0.31	Bunocephalus	0.18
2019 November	DSC_0794.JPG	Leporinus	fridereci	field	Peru	KACV2-02	23.626708984375	Pygocentrus	26.66	Erythrinus	20.05	Prochilodus	13.11	Moenkhausia	12.71	Tetragonopterus	9.82
2019 November	DSC_0795.JPG	Leporinus	fridereci	field	Peru	KACV2-02	22.7203369140625	Erythrinus	44.08	Prochilodus	30.23	Pygocentrus	6.9	Pyrrhulina	5.89	Moenkhausia	2.56
2019 November	DSC_0796.JPG	Hoplias	malabaricus	field	Peru	KACV2-03	15.2252197265625	Prochilodus	90.76	Erythrinus	8.11	Ancistrus	0.51	Oxyropsis	0.37	Bujurquina	0.1
2019 November	DSC_0797.JPG	Hoplias	malabaricus	field	Peru	KACV2-03	16.79534912109375	Prochilodus	70.73	Erythrinus	29.02	Oxyropsis	0.09	Ancistrus	0.08	Bujurquina	0.04
2019 November	DSC_0799.JPG	Hoplias	malabaricus	field	Peru	KACV2-04	14.6636962890625	Ancistrus	55.28	Erythrinus	36.49	Apistogramma	4.56	Bujurquina	2.61	Oxyropsis	0.9
2019 November	DSC_0798.JPG	Hoplias	malabaricus	field	Peru	KACV2-04	15.82183837890625	Ancistrus	81.86	Apistogramma	8.08	Erythrinus	5.87	Bujurquina	4.01	Oxyropsis	0.07
