file_name,genus,species,data_source,country,specimen_id
DSCN0136.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
DSCN0137.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
DSCN0138.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
DSCN0139.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0140.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0141.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0142.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0143.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0144.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0145.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0146.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0147.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0148.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0149.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0150.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0151.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0152.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0153.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0154.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0155.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0156.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0157.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0158.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:331782
DSCN0159.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0160.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0161.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0162.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0163.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0164.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0165.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0166.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0167.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0168.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0169.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0170.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0171.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0172.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0173.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0174.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0175.JPG,Carnegiella,Myersi,museum,Bolivia,USNM:Fish:359742
DSCN0176.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0177.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0178.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0179.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0180.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0181.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0182.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0183.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0184.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0185.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0186.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0187.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0188.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0189.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0190.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
DSCN0191.JPG,Carnegiella,strigata,museum,Peru,USNM:Fish:167823
