family,genus,specificEpithet,country,catalogNumber,IndivID,Camera,photoID,id
Gasteropelecidae,Carnegiella,strigata,Suriname,229160,6,Coolpix B500,DSCN0219.JPG,
Gasteropelecidae,Carnegiella,strigata,Suriname,229160,6,Coolpix B500,DSCN0220.JPG,
Gasteropelecidae,Carnegiella,strigata,Suriname,229160,6,Coolpix B500,DSCN0221.JPG,
Gasteropelecidae,Carnegiella,strigata,Suriname,229160,6,Coolpix B500,DSCN0222.JPG,
Gasteropelecidae,Carnegiella,strigata,Suriname,229160,7,Coolpix B500,DSCN0223.JPG,
Gasteropelecidae,Carnegiella,strigata,Suriname,229160,7,Coolpix B500,DSCN0224.JPG,
Gasteropelecidae,Carnegiella,strigata,Suriname,229160,7,Coolpix B500,DSCN0225.JPG,
Gasteropelecidae,Carnegiella,strigata,Suriname,229160,7,Coolpix B500,DSCN0226.JPG,
Pimelodidae,Calophysus,macropterus,Peru,124874,1,Coolpix B500,DSCN0227.JPG,
Pimelodidae,Calophysus,macropterus,Peru,124874,1,Coolpix B500,DSCN0228.JPG,
Pimelodidae,Calophysus,macropterus,Peru,124874,1,Coolpix B500,DSCN0229.JPG,
Pimelodidae,Calophysus,macropterus,Peru,124874,1,Coolpix B500,DSCN0230.JPG,
Pimelodidae,Calophysus,macropterus,Peru,124874,2,Coolpix B500,DSCN0231.JPG,
Pimelodidae,Calophysus,macropterus,Peru,124874,2,Coolpix B500,DSCN0232.JPG,
Pimelodidae,Calophysus,macropterus,Peru,124874,2,Coolpix B500,DSCN0233.JPG,
Pimelodidae,Calophysus,macropterus,Peru,124874,2,Coolpix B500,DSCN0234.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,1,Coolpix B500,DSCN0235.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,1,Coolpix B500,DSCN0236.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,1,Coolpix B500,DSCN0237.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,1,Coolpix B500,DSCN0238.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,1,Coolpix B500,DSCN0239.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,1,Coolpix B500,DSCN0240.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,2,Coolpix B500,DSCN0241.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,2,Coolpix B500,DSCN0242.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,2,Coolpix B500,DSCN0243.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,2,Coolpix B500,DSCN0244.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,2,Coolpix B500,DSCN0245.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,2,Coolpix B500,DSCN0246.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,3,Coolpix B500,DSCN0247.JPG,
