Codigo foto	Carpeta/Subcarpeta	Camara usada	Fecha	Familia	Genero	Especie	Nombre cientifico	Código/ ID del individuo*	Descripcion o Ubicacion	Quebrada-transecto	Colectores	Metodo de captura	file_name
DSC_0200 - DSC_0201	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T2-CV1QCH-03	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0200.JPG
DSC_0200 - DSC_0201	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T2-CV1QCH-03	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0201.JPG
DSC_0202 - DSC_0203	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Erythrinidae	Erythrinus	erythrinus	Erythrinus erythrinus	T2-CV1QCH-04	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0202.JPG
DSC_0202 - DSC_0203	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Erythrinidae	Erythrinus	erythrinus	Erythrinus erythrinus	T2-CV1QCH-04	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0203.JPG
DSC_0204 - DSC_0205	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Erythrinidae	Hoplias	malabaricus	Hoplias malabaricus	T2-CV1QCH-05	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0204.JPG
DSC_0204 - DSC_0205	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Erythrinidae	Hoplias	malabaricus	Hoplias malabaricus	T2-CV1QCH-05	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0205.JPG
DSC_0206 - DSC_0207	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T2-CV1QCH-06	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0206.JPG
DSC_0206 - DSC_0207	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T2-CV1QCH-06	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0207.JPG
DSC_0208 - DSC_0209	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. brevis	Pyrrhulina cf. brevis	T2-CV1QCH-07	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0208.JPG
DSC_0208 - DSC_0209	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. brevis	Pyrrhulina cf. brevis	T2-CV1QCH-07	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0209.JPG
DSC_0210 - DSC_0211	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T2-CV1QCH-08	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0210.JPG
DSC_0210 - DSC_0211	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T2-CV1QCH-08	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0211.JPG
DSC_0212 - DSC_0213	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T2-CV1QCH-09	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0212.JPG
DSC_0212 - DSC_0213	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T2-CV1QCH-09	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0213.JPG
DSC_0214 - DSC_0215	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. brevis	Pyrrhulina cf. brevis	T2-CV1QCH-10	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0214.JPG
DSC_0214 - DSC_0215	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. brevis	Pyrrhulina cf. brevis	T2-CV1QCH-10	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0215.JPG
DSC_0216 - DSC_0217	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Rivulidae	Anablepsoides 	sp. 1	Anablepsoides sp. 1	T2-CV1QCH-11	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0216.JPG
DSC_0216 - DSC_0217	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Rivulidae	Anablepsoides 	sp. 1	Anablepsoides sp. 1	T2-CV1QCH-11	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0217.JPG
DSC_0218 - DSC_0219	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T2-CV1QCH-12	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0218.JPG
DSC_0218 - DSC_0219	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T2-CV1QCH-12	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0219.JPG
DSC_0220 - DSC_0221	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Tyttocharax	sp. 1	Tyttocharax sp. 1	T2-CV1QCH-13	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0220.JPG
DSC_0220 - DSC_0221	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Tyttocharax	sp. 1	Tyttocharax sp. 1	T2-CV1QCH-13	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0221.JPG
DSC_0222 - DSC_0223	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Hypopomidae	Brachihypopomus	brevirostris	Brachyhypopomus brevirostris	T2-CV1QCH-14	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0222.JPG
DSC_0222 - DSC_0223	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Hypopomidae	Brachihypopomus	brevirostris	Brachyhypopomus brevirostris	T2-CV1QCH-14	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0223.JPG
DSC_0224 - DSC_0225	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. brevis	Pyrrhulina cf. brevis	T2-CV1QCH-15	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0224.JPG
DSC_0224 - DSC_0225	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. brevis	Pyrrhulina cf. brevis	T2-CV1QCH-15	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0225.JPG
DSC_0226 - DSC_0227	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Apistogramma	sp. nov	Apistogramma sp. nov	T3-CV1QCH-01	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0226.JPG
DSC_0226 - DSC_0227	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Apistogramma	sp. nov	Apistogramma sp. nov	T3-CV1QCH-01	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0227.JPG
DSC_0228 - DSC_0229	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Hemigrammus	sp. 2	Hemigrammus sp. 2	T3-CV1QCH-02	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0228.JPG
DSC_0228 - DSC_0229	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Hemigrammus	sp. 2	Hemigrammus sp. 2	T3-CV1QCH-02	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0229.JPG
DSC_0230 - DSC_0231	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Bujurquina	moriorum	Bujurquina moriorum	T3-CV1QCH-03	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0230.JPG
DSC_0230 - DSC_0231	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Bujurquina	moriorum	Bujurquina moriorum	T3-CV1QCH-03	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0231.JPG
DSC_0232 - DSC_0233	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T3-CV1QCH-04	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0232.JPG
DSC_0232 - DSC_0233	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T3-CV1QCH-04	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0233.JPG
DSC_0234 - DSC_0235	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. brevis	Pyrrhulina cf. brevis	T3-CV1QCH-05	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0234.JPG
DSC_0234 - DSC_0235	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. brevis	Pyrrhulina cf. brevis	T3-CV1QCH-05	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0235.JPG
DSC_0236 - DSC_0237	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. brevis	Pyrrhulina cf. brevis	T3-CV1QCH-06	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0236.JPG
DSC_0236 - DSC_0237	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. brevis	Pyrrhulina cf. brevis	T3-CV1QCH-06	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0237.JPG
DSC_0238 - DSC_0239	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T3-CV1QCH-07	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0238.JPG
DSC_0238 - DSC_0239	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T3-CV1QCH-07	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0239.JPG
DSC_0240 - DSC_0241	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T3-CV1QCH-08	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0240.JPG
DSC_0240 - DSC_0241	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T3-CV1QCH-08	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0241.JPG
DSC_0242 - DSC_0243	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T3-CV1QCH-09	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0242.JPG
DSC_0242 - DSC_0243	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T3-CV1QCH-09	Chapintsa	T3-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0243.JPG
DSC_0244 - DSC_0245	Morona 3ra entrada 2019,nov	Nikon D 3500	Thu Nov 21 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T4-CV1QCH-01	Chapintsa	T4-30-50	Morgan, Leo, Segundo y Elias	Red de arrastre y red de mano	DSC_0244.JPG
DSC_0244 - DSC_0245	Morona 3ra entrada 2019,nov	Nikon D 3500	Thu Nov 21 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T4-CV1QCH-01	Chapintsa	T4-30-50	Morgan, Leo, Segundo y Elias	Red de arrastre y red de mano	DSC_0245.JPG
DSC_0246 - DSC_0247	Morona 3ra entrada 2019,nov	Nikon D 3500	Thu Nov 21 00:00:00 EST 2019	Hypopomidae	Brachihypopomus	beebei	Brachyhypopomus beebei	T4-CV1QCH-02	Chapintsa	T4-30-50	Morgan, Leo, Segundo y Elias	Red de arrastre y red de mano	DSC_0246.JPG
DSC_0246 - DSC_0247	Morona 3ra entrada 2019,nov	Nikon D 3500	Thu Nov 21 00:00:00 EST 2019	Hypopomidae	Brachihypopomus	beebei	Brachyhypopomus beebei	T4-CV1QCH-02	Chapintsa	T4-30-50	Morgan, Leo, Segundo y Elias	Red de arrastre y red de mano	DSC_0247.JPG
DSC_0248 - DSC_0249	Morona 3ra entrada 2019,nov	Nikon D 3500	Thu Nov 21 00:00:00 EST 2019	Hypopomidae	Brachihypopomus	beebei	Brachyhypopomus beebei	T4-CV1QCH-03	Chapintsa	T4-30-50	Morgan, Leo, Segundo y Elias	Red de arrastre y red de mano	DSC_0248.JPG
DSC_0248 - DSC_0249	Morona 3ra entrada 2019,nov	Nikon D 3500	Thu Nov 21 00:00:00 EST 2019	Hypopomidae	Brachihypopomus	beebei	Brachyhypopomus beebei	T4-CV1QCH-03	Chapintsa	T4-30-50	Morgan, Leo, Segundo y Elias	Red de arrastre y red de mano	DSC_0249.JPG
DSC_0250 - DSC_0251	Morona 3ra entrada 2019,nov	Nikon D 3500	Thu Nov 21 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. brevis	Pyrrhulina cf. brevis	T4-CV1QCH-04	Chapintsa	T4-30-50	Morgan, Leo, Segundo y Elias	Red de arrastre y red de mano	DSC_0250.JPG
