ID 1,ID 2,Codigo foto 2,Genero
DSC_0585,,DSC_0586,Hemigrammus
DSC_0587,,DSC_0588,Bujurquina
DSC_0589,,DSC_0590,Otocinclus
DSC_0591,,DSC_0592,Corydoras
DSC_0593,,DSC_0594,Hemigrammus
DSC_0595,,DSC_0596,Hemigrammus
DSC_0597,,DSC_0598,Phenacogaster
DSC_0599,,DSC_0600,Phenacogaster
DSC_0601,,DSC_0602,Phenacogaster
DSC_0603,,DSC_0604,Phenacogaster
DSC_0605,,DSC_0606,Hemigrammus
DSC_0607,,DSC_0608,Phenacogaster
DSC_0609,,DSC_0610,Hemigrammus
DSC_0611,,DSC_0612,Phenacogaster
DSC_0613,,DSC_0614,Hemigrammus
DSC_0615,,DSC_0616,Hyphessobrycon
DSC_0617,,DSC_0618,Hyphessobrycon
DSC_0619,,DSC_0620,Hyphessobrycon
DSC_0621,,DSC_0622,Moenkhausia
DSC_0623,,DSC_0624,Phenacogaster
DSC_0625,,DSC_0626,Hemigrammus
DSC_0627,,DSC_0628,Hyphessobrycon
DSC_0629,,DSC_0630,Hyphessobrycon
DSC_0631,,DSC_0632,Hyphessobrycon
DSC_0633,,DSC_0634,Phenacogaster
DSC_0635,,DSC_0636,Hemigrammus
DSC_0637,,DSC_0638,Cyphocharax
DSC_0639,,DSC_0640,Hemigrammus
DSC_0641,,DSC_0642,Hyphessobrycon
DSC_0643,,DSC_0644,Phenacogaster
DSC_0645,,DSC_0646,Hemigrammus
DSC_0647,,,Hemigrammus
DSC_0648,,DSC_0649,Hyphessobrycon
DSC_0650,,DSC_0651,Characidium
DSC_0652,,DSC_0653,Hemigrammus
DSC_0654,,DSC_0655,Hemigrammus
DSC_0656,,DSC_0657,Hemigrammus
DSC_0658,,DSC_0659,Hemigrammus
DSC_0660,,DSC_0661,Hemigrammus
DSC_0662,,,Hyphessobrycon
DSC_0663,,DSC_0664,Hyphessobrycon
DSC_0665,,DSC_0666,Hemigrammus
DSC_0667,,DSC_0668,Phenacogaster
DSC_0669,,DSC_0670,Hemigrammus
DSC_0671,,DSC_0672,Characidium
DSC_0673,,DSC_0674,Characidium
DSC_0675,,DSC_0676,Characidium
DSC_0677,,DSC_0678,Characidium
DSC_0679,,DSC_0680,Characidium
DSC_0681,,DSC_0682,Hyphessobrycon
DSC_0683,,DSC_0684,Hyphessobrycon
DSC_0685,,DSC_0686,Rineloricaria
DSC_0699,,DSC_0700,Steindachnerina
DSC_0701,,DSC_0702,Sturisoma
DSC_0703,,DSC_0704,Pimelodella
DSC_0705,,DSC_0706,Pimelodella
DSC_0707,,DSC_0708,Corydoras
DSC_0709,,DSC_0710,Corydoras
DSC_0711,,DSC_0712,Pimelodella
DSC_0713,,DSC_0714,Pimelodella
DSC_0715,,DSC_0716,Pimelodella
DSC_0717,,DSC_0718,Pimelodella
DSC_0719,,DSC_0720,Pimelodella
DSC_0721,,DSC_0722,Pimelodella
DSC_0723,,DSC_0724,Pimelodella
DSC_0725,,DSC_0726,Pimelodella
DSC_0727,,DSC_0728,Creagrutus
DSC_0729,,DSC_0730,Creagrutus
DSC_0731,,DSC_0732,Otocinclus
DSC_0733,,DSC_0734,Moenkhausia
DSC_0735,,DSC_0736,Creagrutus
DSC_0737,,DSC_0738,Serrasalmus
DSC_0739,,DSC_0740,Phenacogaster
DSC_0741,,DSC_0742,Phenacogaster
DSC_0743,,DSC_0744,Moenkhausia
DSC_0745,,DSC_0746,Phenacogaster
DSC_0747,,DSC_0748,Phenacogaster
DSC_0749,,DSC_0750,Phenacogaster
DSC_0751,,DSC_0752,Phenacogaster
DSC_0753,,DSC_0754,Phenacogaster
DSC_0755,,DSC_0756,Phenacogaster
DSC_0757,,DSC_0758,Creagrutus
DSC_0759,,DSC_0760,Characidium
DSC_0761,,DSC_0762,Bunocephalus 
DSC_0763,,DSC_0764,
DSC_0765,,DSC_0766,Sturisoma
DSC_0342,,DSC_0343,Myloplus
DSC_0344,,DSC_0345,Myloplus
DSC_0346,,DSC_0347,Prochilodus 
DSC_0348,,DSC_0349,Hoplias
DSC_0350,,DSC_0351,Hypostomus 
DSC_0354,,DSC_0355,Tetragonopterus
DSC_0356,,DSC_0357,Serrasalmus
DSC_0512,,DSC_0513,Heroina
DSC_0514,,DSC_0515,Roeboides
DSC_0516,,DSC_0517,Leporinus
DSC_0518,,DSC_0519,Tetragonopterus
DSC_0520,,DSC_0523,Hypostomus 
DSC_0524,,DSC_0525,Paragoniates 
DSC_0687,,DSC_0688,Prochilodus 
DSC_0689,,DSC_0690,Prochilodus 
DSC_0691,,DSC_0692,Serrasalmus
DSC_0693,,DSC_0694,Ageneiosus 
DSC_0695,,DSC_0696,Hoplias
DSC_0697,,DSC_0698,Steindachnerina
DSC_0784,,DSC_0785,Myloplus
DSC_0786,,DSC_0787,Myloplus
DSC_0788,,DSC_0789,Hoplias
DSC_0860,DSC_0861,,Moenkhausia
DSC_0862,DSC_0863,,Pyrrhulina
